Fcode,FD_name,Total,SFA,MUFA,PUFA,EPA,DHA
81307,午餐肉,14.5,5,8.2,1.4,,
81308,咸肉,32.8,12.1,14.9,4,,
81309,珍珠里脊丝(罐头),15.7,5.9,6.9,2.9,,
81310,猪肝(卤煮),6.2,3,2.5,0.7,,
81312,猪蹄(熟),15.5,4.4,9.7,1.4,,
81313,猪肘棒(熟),22.3,7.3,12.6,2.4,,
81314,猪肉松(均值),10.5,3,4.9,2.4,,
81315,福建式肉松,23.7,8.2,13.1,2.3,,
81316,老年保健肉松,18.7,3.8,5.5,9.4,,
81317,太仓肉松,7.6,2.6,4,0.9,,
81401,茶肠,26.9,8.4,16.2,2.4,,
81402,大腊肠,18.3,7.3,9,1.9,,
81403,大肉肠,20.8,8.3,10.2,2.2,,
81404,蛋清肠,20.7,8.4,10.5,1.8,,
81405,儿童肠,17.8,5.5,10.8,1.6,,
81406,风干肠,21.2,8.5,10.4,2.2,,
81407,广东香肠,33.9,13.5,16.6,3.5,,
81408,红果肠,13.9,5.6,6.8,1.4,,
81409,火腿肠,9.5,3.8,4.6,1,,
81410,腊肠,46,18.4,22.6,4.8,,
81411,松江肠,24.1,7.5,14.5,2.1,,
81412,蒜肠,23.1,9.2,11.3,2.4,,
81413,香肠,37,14.8,18.1,3.9,,
81415,小红肠,21.1,8.4,10.3,2.2,,
81416,小泥肠,23.9,9.5,11.7,2.5,,
81417,午餐肠,15.1,6,7.4,1.6,,
81418,午餐肚,0.5,0.1,0.2,0.2,,
81419,方腿,4.6,1.5,2.3,0.7,,
81420,火腿,24.9,9.2,13.1,2.5,,
81421,金华火腿,25.5,8.2,14,2.6,,
81422,圆腿,5.9,2.2,3.1,0.6,,
82101,牛肉(肥瘦)(均值),3.8,2,1.7,0.2,,
82102,牛肉(腑肋),4.9,2.6,2.1,0.2,,
82103,牛肉(后腿),1.8,0.9,0.8,0.1,,
82104,牛肉(后腱),0.9,0.5,0.4,0,,
82105,牛肉(里脊),0.8,0.4,0.4,0,,
82106,牛肉(前腿),1.6,0.9,0.7,0.1,,
82107,牛肉(前腱),1.2,0.6,0.5,0.1,,
82108,牛肉(瘦),2.1,1.1,0.9,0.1,,
82109,牛蹄筋,0.5,0.1,0.3,,,
82110,牛蹄筋(泡发),,,,,,
82202,牛大肠,2.1,1.3,0.6,0.1,,
82203,牛肚,1.5,0.6,0.6,0.1,,
82204,牛肺,2.3,1.2,0.9,0.2,,
82205,牛肝,2.9,1.6,0.8,0.5,,
82206,牛脑,6.2,3,2.8,0.1,,
82207,牛舌,12.2,5.7,5.6,0.5,,
82208,牛肾,1.8,1,0.5,0.3,,
82209,牛心,2.8,1.4,1,0.4,,
82301,酱牛肉,10.9,5.5,4.6,0.9,,
82302,煨牛肉(罐头),10.1,5.6,3.5,1,,
82303,牛肉干,38.1,38.1,,,,
82305,牛肉松,14.4,2.5,3.6,8.2,,
83101,羊肉(肥瘦)(均值),12.9,6.2,4.9,1.8,0.8,0.1
83102,羊肉(冻),22.4,18.5,2.1,1.7,,
83103,羊肉(后腿),3.1,1.5,1.2,0.4,0.8,0.1
83104,羊肉(颈),4.2,2.2,1.7,0.3,,
83105,羊肉(里脊),1.5,0.7,0.6,0.2,,
83106,羊肉(前腿),2.9,1.4,1.1,0.4,0.8,0.1
83109,羊肉(胸脯),5.7,2.9,2.4,0.4,,
83110,山羊肉(冻),22.4,19.7,1.7,1.1,,
83112,羊蹄筋(泡发),,,,,,
83201,羊大肠,2.2,1.3,0.7,0.1,,
83202,羊肚,3.1,0.9,1.5,0.7,,
83203,羊肺,2.2,1.3,0.7,0.3,,
83204,羊肝,2.7,1.3,1.1,0.3,,
83205,羊脑,6,2.3,2.4,1.3,,
83206,羊舌,13,6.6,5.9,0.5,,
83207,羊肾,2.1,0.3,0.9,0.8,,
83208,羊心,4.3,2.2,1.7,0.4,,
83209,羊血,0.2,0.1,0,0,,
83302,羊肉(熟),12.6,5.8,5.9,0.6,,
83303,羊肉串(电烤),10.6,4.9,4.8,0.9,,
83304,羊肉串(烤),9.4,4,4.2,1.2,,
83305,羊肉串(炸),10.5,2.7,3.5,4.4,,
83307,羊肉手抓,8.1,1.1,4.7,2.2,,
83308,山羊肉(酱),12.5,6.1,5.5,1,,
84101,驴肉(瘦),2.9,1.2,1.1,0.6,,
84301,驴肉(酱),2.6,1.2,0.8,0.7,,
84302,驴肉(卤),1.7,0.4,1.1,0.2,,
84303,驴肉(煮),12.4,4.4,5.8,2.2,,
85101,马肉,4.2,1.6,1.5,1.1,,
85201,马心,4.4,1.2,2.2,1,,
89001,狗肉,4.2,1.3,2,0.9,,
89002,骆驼蹄,1.3,0.5,0.8,0.1,,
89003,骆驼掌,1.8,0.6,1.1,0.1,,
89004,兔肉,2,0.8,0.5,0.7,,
89005,兔肉(野),1.8,0.7,0.3,0.8,,
91101,鸡(均值),8.9,3.1,3.7,2.2,,
91105,华青鸡,8.3,0.8,6.9,0.6,,
91107,乌骨鸡,2.2,1.3,0.6,0.2,,
91108,鸡胸脯肉,4.7,1.6,2,1.2,,
91109,鸡翅,11.2,3.4,5.5,2.4,,
91110,鸡腿,12.3,4.3,5.1,3.1,,
91111,鸡爪,15.5,3.8,8.4,3.4,,
91201,鸡肝,3.6,1.7,1.1,0.6,,
91203,鸡心,9.3,2.7,4,2.7,,
91204,鸡血,0.2,0.1,0,0,,
91205,鸡肫[鸡胗],2.6,1,1,0.6,,
91301,扒鸡,10.4,3.3,4.8,2.3,,
91302,烤鸡,15.8,4.6,7.5,3.8,,
91304,卤煮鸡,7.5,2.3,2.9,1.9,,
91307,鸡肉松,15.5,5.2,9.8,0.4,,
92101,鸭(均值),18.6,5.6,9.3,3.6,,
92102,公麻鸭,29.2,8.8,14.6,5.7,,
92103,母麻鸭,42.3,12.8,21.2,8.3,,
92105,鸭皮,47.4,14.9,27.7,4.7,,
92201,鸭肠,7.4,2.3,4,1.1,,
92202,鸭肝,5.6,2.8,2,0.8,,
92203,鸭肝(公麻鸭),3,1.6,1.1,0.4,,
92204,鸭肝(母麻鸭),1.9,0.9,0.7,0.3,,
92205,鸭舌[鸭条],18.6,3.5,11.5,3.5,,
92206,鸭心,7,2.2,3.7,1.1,,
92208,鸭血(公麻鸭),0.4,0.2,0.1,0.1,,
92210,鸭胰,2.7,1.8,0.8,0.2,,
92211,鸭肫,1.2,0.4,0.6,0.2,,
92301,北京烤鸭,36.3,12.7,19.7,4.1,,
92304,酱鸭,17.4,5.9,9.2,2.3,,
92305,酱鸭(加梅菜，罐头),20.5,7.6,10.4,2.5,,
92306,盐水鸭(熟),24.7,7.4,12.3,4.8,,
93101,鹅,18.8,5.5,10.2,3.1,,
93201,鹅肝,2.5,1.6,0.5,0.3,,
93301,烧鹅,20.3,6.4,10.6,3.1,,
94101,火鸡腿,1.1,0.4,0.5,0.2,,
94201,火鸡肝,4.1,1.6,2,0.5,,
99001,鸽,13.4,3.3,8.3,1.8,,0.1
99002,鹌鹑,2.9,1.1,1,0.8,,
101101,牛乳(均值),3,1.6,1.1,0.2,,
101102,牛乳(美国牛),3,1.6,1.1,0.2,,
101103,牛乳(强化VA，VD),1.9,1,0.7,0.1,,
101104,牛乳(西德牛),2.8,1.5,1,0.2,,
101201,鲜羊乳,3.3,2.2,0.8,0.1,,
101301,人乳,3.2,1.4,1.2,0.7,,
102102,全脂加糖奶粉,22.1,12.9,6.5,1.3,,
102103,全脂牛奶粉,20,11.7,5.9,1.2,,
102104,全脂速溶奶粉,17.9,10.4,5.3,1.1,,
102201,全脂羊乳粉,23.8,14,7.3,1.1,,
103001,酸奶(均值),2.6,1.5,0.9,0.1,,
103003,酸奶(脱脂),0.4,0.2,0.1,0,,
103004,酸奶(中脂),1.8,1.1,0.6,0.1,,
103005,酸奶(果料),1.3,0.8,0.5,0.1,,
103006,酸奶(桔味，脱脂),0.3,0.2,0.1,,,
104001,奶酪[干酪],22.2,12.9,7.4,1.9,,
104002,奶豆腐(脱脂),2.4,2.2,0.1,0,,
104003,奶豆腐(鲜),7.4,6.5,0.3,0.1,,
104004,奶疙瘩[奶酪干，干酸奶],14.2,11.9,2.1,0.2,,
104009,酸酪蛋,19.3,18.3,0.9,0.1,,
105001,奶油,91.7,42.8,31.3,17.4,,
105003,奶油(食品工业),52.4,32.4,16.8,2.8,,
105004,黄油,92.6,52,34,5.8,,
105006,白脱(食品工业)[牛油，黄油],78.2,46.5,26.6,4.8,,
105007,酥油,89.2,48.8,30.3,10.1,,
109001,炼乳(甜，罐头),8.2,5.1,2.8,0.4,,
111102,鸡蛋(白皮),7.5,2.7,3.4,1.2,,
111103,鸡蛋(红皮),9.2,3.3,4.2,1.4,,
111104,鸡蛋(土鸡),5.3,4.2,0.8,0.3,,
111106,鸡蛋白(乌骨鸡),0.1,0,0,0,,
111108,鸡蛋黄(乌骨鸡),16.5,6.3,7.9,2.7,,
111201,鸡蛋粉[全蛋粉],30,9,12.4,8.7,,
111202,鸡蛋黄粉,45.7,13.7,18.9,13.3,,
111203,松花蛋(鸡蛋),8.8,4,3.6,0.5,,
112101,鸭蛋,10.8,3.8,5.6,1.1,,
112103,鸭蛋黄,28.1,7.8,16,2.1,,
112201,松花蛋(鸭蛋)[皮蛋],8.9,2.8,5,1.2,,
