"Fcode","cmfp","dash","ahei","edible","water","kcal","kj","prot","fat","cho","fiber","sodium","Total","SFA","MUFA","PUFA","EPA","DHA"
141019,0,0,0,100,19.4,367,1536,4.8,11,63.2,0.9,361.5,0,0,0,0,0,0
141020,0,0,0,100,10.3,425,1778,4.4,14.2,70.7,0.8,47.5,0,0,0,0,0,0
141021,0,0,0,100,38.1,289,1209,5.2,10.7,44,1.1,154.8,0,0,0,0,0,0
141022,0,0,0,100,60.9,154,644,3.3,0.6,34.7,0.8,56.4,0,0,0,0,0,0
141023,0,0,0,100,72.4,106,444,4.4,0.3,21.8,0.3,514.8,0,0,0,0,0,0
141024,0,0,0,100,6.8,356,1490,11.8,2.2,77,4.7,7.5,0,0,0,0,0,0
141025,0,0,0,100,63,152,636,4.2,2.4,28.7,0.2,165.8,0,0,0,0,0,0
141026,0,0,0,100,15.5,383,1602,4.1,10.5,69.3,1.4,20,0,0,0,0,0,0
141027,0,0,0,100,51.2,237,992,6,10.2,31,0.6,207,0,0,0,0,0,0
141028,0,0,0,100,54.2,236,987,8.1,11.6,25.2,0.3,219,0,0,0,0,0,0
141029,0,0,0,100,66.9,130,544,5.2,0.2,27.2,0.4,0,0,0,0,0,0,0
141030,0,0,0,100,50.6,187,782,7.8,0.1,41,2.2,3.5,0,0,0,0,0,0
141031,0,0,0,100,63.7,133,556,7.5,0.6,26.7,2.2,151.7,0,0,0,0,0,0
141032,0,0,0,100,1.9,407,1703,12.4,4.8,80.1,1.5,46.4,0,0,0,0,0,0
141033,0,0,0,100,76.3,94,393,2.4,0.9,20,0.9,19.6,0,0,0,0,0,0
141034,0,0,0,100,8.1,405,1695,25.1,9.8,54.7,0.7,359.4,0,0,0,0,0,0
141035,0,0,0,100,12.2,400,1674,33.4,14.8,35.1,1.8,0,0,0,0,0,0,0
141036,0,0,0,100,43.6,280,1172,6.1,12.3,37.3,1.2,96.6,0,0,0,0,0,0
141037,0,0,0,100,49.3,257,1075,4.1,13.1,32.5,1.8,8.9,0,0,0,0,0,0
142101,0,0,0,100,18.6,347,1452,8.6,5.1,67.1,0.4,67.8,0,0,0,0,0,0
142102,0,0,0,100,27,320,1339,9.5,6,57.1,0.2,32,0,0,0,0,0,0
142103,0,0,0,100,17.8,339,1418,6.5,2.4,72.9,0,49,0,0,0,0,0,0
142104,0,0,0,100,19.5,334,1397,7.4,3.4,69.2,0.8,49.1,0,0,0,0,0,0
142105,0,0,0,100,14.6,383,1602,13,9.6,61.8,0.6,118.5,0,0,0,0,0,0
142106,0,0,0,100,21.9,378,1582,7.2,13.9,56.5,0.6,80.7,9.3,4.2,3.7,1.4,0,0
142107,0,0,0,100,24.5,316,1322,7.8,3.4,63.8,0.3,47.6,0,0,0,0,0,0
142201,0,0,0,100,16.9,429,1795,5.1,22.1,55.3,3,11.1,0,0,0,0,0,0
142202,0,0,0,100,11.7,405,1695,8.2,13.6,65.6,3.1,22.4,0,0,0,0,0,0
142203,0,0,0,100,9.4,441,1845,5.7,16.9,67.6,1,28.2,0,0,0,0,0,0
142204,0,0,0,100,12.6,438,1833,6.4,21.4,59,4.1,17.7,0,0,0,0,0,0
142205,0,0,0,100,15.1,407,1703,8,18.4,57.8,5.4,56.8,0,0,0,0,0,0
142206,0,0,0,100,11.3,416,1741,8,16,64,3.9,18.5,0,0,0,0,0,0
142207,0,0,0,100,8.3,449,1879,6.3,19.7,65.2,3.5,28.2,0,0,0,0,0,0
142208,0,0,0,100,11.7,424,1774,7.1,15.7,64.9,1.4,24.3,0,0,0,0,0,0
142301,0,0,0,100,27.4,359,1502,7.6,14.9,49.4,0.9,324,0,0,0,0,0,0
142302,0,0,0,100,6.3,386,1615,11.7,3.9,76.9,0.8,100,0,0,0,0,0,0
142303,0,0,0,100,5.2,452,1891,9,17.4,66.7,1.8,67.9,0,0,0,0,0,0
142304,0,0,0,100,4.4,456,1908,5.9,18.7,70,3.9,59.9,0,0,0,0,0,0
142305,0,0,0,100,10,461,1929,8.4,22.7,57.4,1.7,23.8,0,0,0,0,0,0
142306,0,0,0,100,3.3,511,2138,6.6,25.3,64.2,0,0,0,0,0,0,0,0
142307,0,0,0,100,7.4,465,1946,6.2,21.4,64.2,2.2,44.6,0,0,0,0,0,0
142308,0,0,0,100,3.3,480,2008,9.8,24.6,61.1,6.2,251.3,0,0,0,0,0,0
142309,0,0,0,100,6.8,437,1828,5.6,16.1,70.6,3.3,36.5,0,0,0,0,0,0
142310,0,0,0,100,2.3,417,1745,4.2,12.4,79.7,7.5,3.1,0,0,0,0,0,0
142311,0,0,0,100,5.3,453,1895,7.9,16.3,69.5,0.8,135.2,0,0,0,0,0,0
142312,0,0,0,100,7.1,436,1824,6.2,13.4,72.7,0,406.8,0,0,0,0,0,0
142313,0,0,0,100,9.8,481,2013,5.3,24.7,59.7,0.4,18.7,0,0,0,0,0,0
142314,0,0,0,100,4,439,1837,5.7,11.7,78.1,0.4,46.5,0,0,0,0,0,0
142315,0,0,0,100,1.4,474,1983,11.4,23.1,62.6,7.6,60,15.5,3.7,6.6,5.1,0,0
142316,0,0,0,100,4.1,490,2050,6,21.8,67.7,0.3,52.7,0,0,0,0,0,0
142317,0,0,0,100,5.3,512,2142,8.4,30,55.3,3.1,68.2,0,0,0,0,0,0
142318,0,0,0,100,7,392,1640,7.2,14,70.8,11.5,36.5,0,0,0,0,0,0
142319,0,0,0,100,11.5,349,1460,12.8,1,73.4,1.2,11.6,0,0,0,0,0,0
142320,0,0,0,100,4.4,397,1661,3.8,3.8,87.2,0.3,1.8,0,0,0,0,0,0
142321,0,0,0,100,6,524,2192,8.3,31.5,53.4,1.5,99.2,0,0,0,0,0,0
142322,0,0,0,100,3.5,401,1678,3.9,3.6,88.7,0.5,2.5,0,0,0,0,0,0
142323,0,0,0,100,7.3,384,1607,3.1,3.3,85.8,0.3,43.4,0,0,0,0,0,0
142324,0,0,0,100,12.9,499,2088,8.7,31.7,45.1,0.3,493.9,0,0,0,0,0,0
142325,0,0,0,100,10.8,436,1824,0.2,17.4,70.5,0.8,31.5,0,0,0,0,0,0
142326,0,0,0,100,10.7,426,1782,8.1,15.5,65,1.4,55.7,0,0,0,0,0,0
142327,0,0,0,100,5.4,481,2013,7.1,21.8,65.1,1.1,33.9,0,0,0,0,0,0
142328,0,0,0,100,7.3,463,1937,8.4,20.1,63.5,1.3,97.4,0,0,0,0,0,0
