Fcode,cmfp,dash,ahei,FD_name,edible,water,kcal,kj,prot,fat,cho,fiber,sodium
31401,5,9,,豆浆,100,96.4,14,59,1.8,0.7,1.1,1.1,3
31402,5,9,,豆奶[豆乳],100,94,30,126,2.4,1.5,1.8,,3.2
31403,5,9,,豆汁(生),100,97.4,10,42,0.9,0.1,1.4,0.1,6.5
31404,5,9,,酸豆奶,100,84.5,67,280,2.2,1.2,11.8,,18.6
31501,5,9,,豆腐丝,100,58.4,201,841,21.5,10.5,6.2,1.1,20.6
31502,5,9,,豆腐丝(干),100,7.4,451,1887,57.7,22.8,3.7,,110
31503,5,9,,豆腐丝(油),100,38.2,300,1255,24.2,17.1,14.5,2.2,769.4
31504,5,9,,豆腐卷,100,61.6,201,841,17.9,11.6,7.2,1,81.1
31505,5,9,,豆腐皮,100,16.5,409,1711,44.6,17.4,18.8,0.2,9.4
31506,5,9,,油豆腐,100,58.8,244,1021,17,17.6,4.9,0.6,32.5
31507,5,9,,腐竹,100,7.9,459,1920,44.6,21.7,22.3,1,26.5
31508,5,9,,枝竹,100,6.9,472,1975,44.4,24.7,20.8,2.7,83
31509,5,9,,千张[百页],100,52,260,1088,24.5,16,5.5,1,20.6
31510,5,9,,豆腐干(均值),100,65.2,140,586,16.2,3.6,11.5,0.8,76.5
31511,5,9,,豆腐干(菜干),100,71.3,136,569,13.4,7.1,5,0.3,633.6
31512,5,9,,豆腐干(臭干),100,77.9,99,414,10.2,4.6,4.5,0.4,33.8
31513,5,9,,豆腐干(酱油干),100,70.2,156,653,14.9,9.1,4,0.3,90.3
31514,5,9,,豆腐干(卤干),100,32.4,336,1406,14.5,16.7,33.4,1.6,40.9
31515,5,9,,豆腐干(蒲包干),100,72.5,135,565,12.1,5.7,8.9,,633.1
31516,5,9,,豆腐干(香干),100,69.2,151,632,15.8,7.8,5.1,0.8,234.1
31517,5,9,,豆腐干(小香干),100,61,174,728,17.9,9.1,5.4,0.4,372.3
31518,5,9,,豆腐干(熏干),100,67.5,153,640,15.8,6.2,8.8,0.3,232.7
31519,5,9,,豆肝尖,100,57.6,192,803,17.2,12,9.4,5.7,614.5
31520,5,9,,素大肠,100,63,153,640,18.1,3.6,13,1,144.7
31521,5,9,,素火腿,100,55,211,883,19.1,13.2,4.8,0.9,675.9
31522,5,9,,素鸡,100,64.3,192,803,16.5,12.5,4.2,0.9,373.8
31523,5,9,,素鸡丝卷,100,63.5,186,778,11.2,13.7,10.1,5.6,
31524,5,9,,素什锦,100,65.3,173,724,14,10.2,8.3,2,475.1
31525,5,9,,炸素虾,100,3.4,576,2410,27.6,44.4,19.3,2.7,1440
31526,5,9,,烤麸,100,68.6,121,506,20.4,0.3,9.3,0.2,230
32101,,9,3,绿豆,100,12.3,316,1322,21.6,0.8,62,6.4,3.2
32102,,9,3,绿豆面,100,9.6,330,1381,20.8,0.7,65.8,5.8,3.3
32201,,9,3,绿豆饼[饼折],100,69.7,122,510,15.2,1.2,12.7,,3.1
33101,,9,3,赤小豆[小豆，红小豆],100,12.6,309,1293,20.2,0.6,63.4,7.7,2.2
33201,,9,3,小豆粥,100,84.4,61,255,1.2,0.4,13.7,0.6,2.3
33202,,9,3,豆沙,100,39.2,243,1017,5.5,1.9,52.7,1.7,23.5
33203,,9,3,红豆馅,100,35.9,240,1004,4.8,3.6,55.1,7.9,3.3
34101,,9,3,花豆(红),100,14.8,317,1326,19.1,1.3,62.7,5.5,12.5
34102,,9,3,花豆(紫),97,13.2,315,1318,17.2,1.4,65.8,7.4,19.6
34103,,9,3,芸豆(白),100,14.4,296,1238,23.4,1.4,57.2,9.8,
34104,,9,3,芸豆(红),100,11.1,314,1314,21.4,1.3,62.5,8.3,0.6
34105,,9,3,芸豆(虎皮),100,10.2,334,1397,22.5,0.9,62.5,3.5,3.3
34106,,9,3,芸豆(杂，带皮),100,9.8,306,1280,22.4,0.6,63.3,10.5,10.5
35101,,9,3,蚕豆,100,13.2,335,1402,21.6,1,61.5,1.7,86
35102,,9,3,蚕豆(带皮),93,11.5,304,1272,24.6,1.1,59.9,10.9,21.2
35103,,9,3,蚕豆(去皮),100,11.3,342,1431,25.4,1.6,58.9,2.5,2.2
35104,,9,3,马牙大豆,100,9.6,321,1343,27.2,0.9,59.4,8.4,87
