Foodcode,FD_name,Total,SFA,MUFA,PUFA,EPA,DHA
051033,红奶浆菌[多汁乳菇、谷熟菌],,,,,,
051034,黄蘑（干）,3.6,0.7,1.5,1.4,,
051035,黄伞菇（干）[多脂鳞伞、黄丝菌],1.8,0.3,0.1,1.4,,
051036,鸡腿菇（干）[毛头鬼伞],,,,,,
051037,鸡油菌[黄丝菌、杏菌],,,,,,
051038,鸡枞[蚁枞、伞把姑、鸡枞菌],,,,,,
051039,鸡枞（干）,2.1,1.5,0.6,,,
051040,鸡枞（油炸）[油鸡枞],,,,,,
051041,鸡枞花,,,,,,
051042,白牛肝菌[美味牛肝菌],,,,,,
051043,白牛肝菌（干）[美味牛肝菌],0.9,0.2,0.4,0.3,,
051044,黑牛肝菌[铜色牛肝菌],,,,,,
051045,黄皮牛肝菌[黄皮疣柄牛肝菌、黄赖头],,,,,,
051046,乳牛肝菌（干）[粘盖牛肝菌、松树菌],1.6,0.2,0.6,0.7,,
051047,牛眼睛菌[马勃菌],,,,,,
051048,平菇[糙皮侧耳、青菇],,,,,,
051049,青头菌[变绿红菇、绿菇],,,,,,
051050,松蘑（干）[松茸、松口蘑],1.7,0.2,0.8,0.7,,
051051,杏鲍菇,,,,,,
051052,血红菇（干）,3.8,0.8,1.9,1.3,,
051053,元蘑（干）[亚侧耳、冬蘑、黄蘑],0.8,0.4,0.3,0.2,,
051054,竹荪（干）[竹笙、竹参],,,,,,
051055,榛蘑（干）[小蜜环菌],6.1,1,4.2,0.9,,
052009,螺旋藻（干）,,,,,,
052010,裙带菜（干）[海芥菜、海木耳],1.4,1,0.3,0.1,,
052011,海带菜,6,2.5,2.6,0.7,,
061907,蛇果,,,,,,
062115,蜜桃,,,,,,
062116,桃（糖水罐头）,,,,,,
062207,布朗,,,,,,
062208,西梅,,,,,,
062312,冬枣,,,,,,
062313,小枣（干）,,,,,,
063911,红提子葡萄,,,,,,
063912,无花果（干）,3.4,0.4,0.6,2.4,,
064303,葡萄柚（台湾）[西柚],,,,,,
064304,葡萄柚（以色列）[西柚],,,,,,
065021,桂圆（干）,,,,,,
065022,红毛丹,,,,,,
065023,火龙果[仙蜜果、红龙果],,,,,,
065024,荔枝（干）,,,,,,
065025,榴莲,,,,,,
065026,芒果（大头）,,,,,,
065027,木瓜[番木瓜],,,,,,
065028,酸木瓜,,,,,,
065029,蒲桃[香果、水石榴],,,,,,
065030,山竹,,,,,,
065031,香蕉（红皮，海南）,,,,,,
065032,香蕉（红皮，泰国）,,,,,,
066206,小西瓜[地雷瓜],,,,,,
071026,山核桃（熟）,61.7,4,44.8,12.9,,
071027,栗子（北京密云）[板栗],,,,,,
071028,栗子（河南）[板栗],,,,,,
071029,栗子（山东）[板栗],,,,,,
071030,栗子（河北迁西）[板栗],,,,,,
071031,栗子（河北邢台）[板栗],,,,,,
071032,栗子仁（熟）,1.4,0.3,0.4,0.7,,
071033,松子（熟）,38.6,4.4,20.8,13.5,,
071034,杏仁（熟，带壳）,55.8,6.6,36.2,13.2,,
071035,杏仁（熟，去壳）,52,4.8,36,11.2,,
071036,腰果（熟）,48.7,10.6,28.1,9.9,,
071037,榛子（熟）,54.8,4.3,41.7,8.8,,
071038,榛子仁（熟）,50.6,3,37.6,10,,
071039,开心果（熟）,50.7,8,33.8,8.9,,
071040,香榧（熟）,54.5,4.9,18.1,26.9,,
072020,花生（烤，勤俭牌）,44,8.5,25.1,10.6,,
072021,花生（烤，密日兴牌）,21.2,6.1,12.5,2.6,,
072022,花生仁（油炸）,,,,,,
