Fcode,cmfp,dash,hei,FD_name,edible,water,kcal,kj,prot,fat,cho,fiber,sodium
45331,2,,,芹菜（茎）,100,95.4,11,44,0.4,0.2,3.1,1.3,166.4
45332,2,,,西芹[西洋芹菜、美芹],85,93.6,12,51,0.6,0.1,4.8,2.6,313.3
45333,2,,,生菜,94,96.7,10,42,1.6,0.4,1.1,1.1,16.1
45334,2,,,油麦菜,81,95.9,8,33,1.1,0.4,2.1,2.1,32
45335,2,,,叶甜菜（白梗）,100,94.2,7,31,1.6,0.1,2.8,2.8,356.5
45336,2,,,莴笋叶[莴苣菜],100,95,12,51,1,0.2,2.9,1.3,35.6
45337,2,,,蕹菜[空心菜、藤藤菜],100,92.3,11,44,2.2,0.2,4,4,107.6
45338,2,,,观达菜[根达菜、牛皮菜],100,91.8,18,74,1.9,0.3,4.5,,220
45339,2,,,球茎茴香[甜茴香、意大利茴香],70,93.2,10,44,1.2,0,4.7,3.3,90.5
45415,2,,,芦笋（绿）[石刁柏、龙须菜],90,93.3,13,56,2.6,0.1,3.3,2.8,12.4
45416,2,,,芦笋（紫）,93,93.1,18,74,2.7,0.2,3.4,2.1,9.2
45417,2,,,结球菊苣,89,93.8,12,49,1.8,0.2,3.4,2.7,24.9
45418,2,,,软化白菊苣,97,94.7,13,56,1.5,0.2,3.1,1.7,33.6
46010,2,,,藕[莲藕],88,86.4,42,177,1.2,0.2,11.5,2.6,34.3
47203,2,,,芋头[芋艿、毛芋],88,85,54,225,1.3,0.2,12.7,,5.5
47204,2,,,芋头（煮）,100,83,60,251,2.9,0.1,13,,1
48081,2,,,苦苣菜[苦菜、天精菜],100,90.3,29,121,3.1,0.6,4.5,,17.3
48082,2,,,苜蓿[草头、金花菜],95,90.2,32,134,5,0.7,2.9,,26.2
48083,2,,,鱼腥草（叶）[蕺菜、臭菜],100,84.9,13,54,2.1,,10.7,9.6,21.6
48084,2,,,鱼腥草（根）,86,77.4,39,164,2.1,,19.5,11.8,42.4
51028,2,,,白蘑菇[双孢蘑菇、洋蘑菇],100,91.4,27,113,3.5,0.4,3.8,1.8,57
51029,2,,,北风菌[荷叶离褶伞、一窝羊],77,94.6,14,59,1.7,0.1,2.9,,1.4
51030,2,,,草菇[大黑头细花草、稻菇],100,94.6,14,59,1.1,0.4,3.1,1.4,332.1
51031,2,,,茶树菇（干）[柱状田头菇、茶薪菇],100,12.2,279,1166,23.1,2.6,56.1,15.4,6
51032,2,,,干巴菌,91,86.5,26,109,3.8,0.4,8,,2.1
51033,2,,,红奶浆菌[多汁乳菇、谷熟菌],94,94,13,54,1.5,0.4,3.3,,1.2
51034,2,,,黄蘑（干）,100,11,225,940,24.6,6.4,46.9,29.7,31.9
51035,2,,,黄伞菇（干）[多脂鳞伞、黄丝菌],100,10.8,237,993,22.8,3.2,57.5,28.1,6.4
51036,2,,,鸡腿菇（干）[毛头鬼伞],100,10.8,257,1075,26.7,2,51.8,18.8,68.2
51037,2,,,鸡油菌[黄丝菌、杏菌],92,91.4,21,88,2,0.3,5.1,,2.8
51038,2,,,鸡枞[蚁枞、伞把姑、鸡枞菌],96,94.5,16,68,2.5,0.2,2.5,,3.1
51039,2,,,鸡枞（干）,100,13.6,251,1048,32.8,3.7,44.8,23.3,23.9
51040,2,,,鸡枞（油炸）[油鸡枞],100,16.5,635,2657,4.8,66.3,10.2,,1265.7
51041,2,,,鸡枞花,86,95,16,67,2.3,0.3,1.8,,2.7
51042,2,,,白牛肝菌[美味牛肝菌],93,90.2,32,134,4,0.4,4.5,,2.1
51043,2,,,白牛肝菌（干）[美味牛肝菌],100,11.6,253,1057,27.8,1.6,53.3,21.5,9.1
51044,2,,,黑牛肝菌[铜色牛肝菌],95,90.6,29,121,3.6,0.2,4.8,,1.3
51045,2,,,黄皮牛肝菌[黄皮疣柄牛肝菌、黄赖头],97,89.7,24,100,4.3,0.1,5.3,,1.6
51046,2,,,乳牛肝菌（干）[粘盖牛肝菌、松树菌],100,10.5,178,746,15.3,2.8,66,43,11.2
51047,2,,,牛眼睛菌[马勃菌],93,86.6,32,134,5.1,0.3,6.6,,1.8
51048,2,,,平菇[糙皮侧耳、青菇],100,94.4,14,59,1.7,0.1,3.2,1.6,13.2
51049,2,,,青头菌[变绿红菇、绿菇],95,93.3,15,63,2.7,0.1,3.1,,1.1
51050,2,,,松蘑（干）[松茸、松口蘑],100,10.6,202,847,12.5,3,66.5,35.1,31.6
51051,2,,,杏鲍菇,100,89.6,31,129,1.3,0.1,8.3,,3.5
51052,2,,,血红菇（干）,100,7.8,252,1054,22.4,6.7,56,30.5,2.9
51053,2,,,元蘑（干）[亚侧耳、冬蘑、黄蘑],100,7.8,146,609,12.3,1.5,70.3,49.6,13.4
51054,2,,,竹荪（干）[竹笙、竹参],100,13.9,155,648,17.8,3.1,60.3,,50
51055,2,,,榛蘑（干）[小蜜环菌],100,8,271,1135,17.7,10.8,54.6,28.8,18.7
52009,2,,,螺旋藻（干）,100,6.5,356,1487,64.7,3.1,18.2,,1624
52010,2,,,裙带菜（干）[海芥菜、海木耳],100,9.2,119,498,25,1.7,41.5,40.6,4411.6
52011,2,,,海带菜,100,68.3,89,373,1.4,7.5,15.3,11.3,2511.7
61907,3,,,蛇果,84,84.4,55,232,0.1,0.2,14.9,1.6,3.1
62115,3,,,蜜桃,88,87.9,45,188,0.6,0.1,11,,1.7
62116,3,,,桃（糖水罐头）,100,84.9,59,249,0.3,0.2,14.5,0.4,2.7
62207,3,,,布朗,87,88,41,173,0.6,0.2,10.7,1.4,2.2
62208,3,,,西梅,76,88.5,39,163,0.7,0.1,10.3,1.5,3.2
62312,3,,,冬枣,93,69.5,105,439,1.8,0.2,27.8,3.8,33
62313,3,,,小枣（干）,81,28.3,266,1114,2.7,0.7,66.8,4.5,12.2
63911,3,,,红提子葡萄,86,85.6,52,218,0.4,0.2,13.1,0.9,4.4
63912,3,,,无花果（干）,100,11.5,361,1510,3.6,4.3,77.8,13.3,10
64303,3,,,葡萄柚（台湾）[西柚],73,90.9,33,138,0.7,0.3,7.8,1.2,7
64304,3,,,葡萄柚（以色列）[西柚],65,88.8,37,153,0.7,0.1,10,1.8,4.1
65021,3,,,桂圆（干）,34,14,309,1292,5.6,0.2,76.2,5.1,3.2
65022,3,,,红毛丹,79,80,79,330,1,1.2,17.5,1.5,2.3
65023,3,,,火龙果[仙蜜果、红龙果],69,84.8,51,215,1.1,0.2,13.3,2,2.7
65024,3,,,荔枝（干）,56,15,317,1327,4.5,1.2,77.4,5.3,0
65025,3,,,榴莲,37,64.5,147,613,2.6,3.3,28.3,1.7,2.9
65026,3,,,芒果（大头）,68,86.1,50,209,0.5,0.1,12.9,,3.6
65027,3,,,木瓜[番木瓜],89,91.7,30,126,0.6,0,7.2,,10.4
65028,3,,,酸木瓜,79,87.8,35,146,0.3,0.2,11.1,,1.9
65029,3,,,蒲桃[香果、水石榴],69,88.9,38,160,0.6,0,10.1,,0
65030,3,,,山竹,25,81.2,69,290,0.4,0.2,18,1.5,3.8
65031,3,,,香蕉（红皮，海南）,70,77.1,82,344,1.1,0.2,20.8,1.8,3.2
65032,3,,,香蕉（红皮，泰国）,67,78.1,78,326,1.1,0.2,19.7,1.8,3.1
66206,3,,,小西瓜[地雷瓜],62,92.1,29,123,0.8,0.1,6.7,0.4,4.8
71026,,,,山核桃（熟）,45,2.8,618,2586,8.3,64.5,21.3,20.2,855.5
71027,,,,栗子（北京密云）[板栗],80,53.3,182,762,4.4,1.6,39.6,,0
71028,,,,栗子（河南）[板栗],80,51.2,186,777,4.4,1.4,41.9,,0
71029,,,,栗子（山东）[板栗],80,57.3,164,688,4.4,1,36.3,,0
71030,,,,栗子（河北迁西）[板栗],80,53.6,178,745,3.8,0.9,40.7,,0
71031,,,,栗子（河北邢台）[板栗],80,53.6,179,750,4.3,1.1,39.9,,0
71032,,,,栗子仁（熟）,100,47.3,174,727,4.5,1.5,45.7,10.2,8.7
71033,,,,松子（熟）,69,3.4,530,2218,12.9,40.4,40.3,11.6,666
71034,,,,杏仁（熟，带壳）,63,1.7,626,2619,25.1,58.4,11,11,195.8
71035,,,,杏仁（熟，去壳）,100,3.1,605,2530,28,54.4,11.1,10.3,342.2
71036,,,,腰果（熟）,100,2.1,594,2484,24,50.9,20.4,10.5,35.7
71037,,,,榛子（熟）,66,2.2,617,2579,12.5,57.3,25.6,12.9,9.4
71038,,,,榛子仁（熟）,100,2.2,610,2552,15.6,52.9,26.7,8.8,153
71039,,,,开心果（熟）,82,0.8,614,2570,20.6,53,21.9,8.2,756.4
71040,,,,香榧（熟）,61,1.1,618,2586,12.4,57,26.9,13,215.6
72020,,,,花生（烤，勤俭牌）,72,2.5,566,2366,26.4,46.3,21.2,,79.4
72021,,,,花生（烤，密日兴牌）,71,3.1,459,1921,16.6,22.3,55.9,,171.1
72022,,,,花生仁（油炸）,100,1.3,549,2296,22.2,47.1,26.2,,207.8
72023,,,,葵花籽（奶油香瓜子）,51,1.4,591,2472,22.7,54.1,17.9,,604.3
72024,,,,葵花籽（熟）,48,2.7,567,2372,28.5,49,15.1,12.1,634.7
72025,,,,南瓜子（熟）[白瓜子],69,3.2,597,2497,26.6,52.8,12.9,,145.1
72026,,,,西瓜子（熟）[黑瓜子],38,10.7,532,2228,29,46,9.5,,599.4
81121,6,,,猪肉（前臀尖，杜长大猪）,100,58.6,289,1209,15.3,25.3,0,,0
81122,6,,,猪肉（前臀尖，良杂猪）,100,53.7,334,1397,14.2,30.4,0.9,,53.9
81123,6,,,猪肉（后臀尖，杜长大猪）,100,71.2,165,691,20.8,9.1,0,,0
81124,6,,,猪肉（后臀尖，良杂猪）,100,68.8,175,730,20,10.5,0,,47.9
81125,6,,,猪肉（硬肋，杜长大猪）,100,36.5,557,2331,10.8,57.1,0,,0
81126,6,,,猪肉（硬肋，良杂猪）,100,38.4,536,2243,11.6,54.4,0,,0
81127,6,,,猪肉（通脊，杜长大猪）,100,70.7,159,667,22.3,7.8,0,,0
81128,6,,,猪肉（通脊，良杂猪）,100,73.2,140,587,20.7,6.4,0,,46.5
81129,6,,,猪肉（里脊）,100,74.7,150,626,19.6,7.9,0,,43.2
81130,6,,,猪皮,100,46.9,363,1517,27.4,28.1,0,,72.4
81131,6,,,猪小排（杜长大猪）,70,60,295,1234,16.8,25.3,0,,0
81132,6,,,猪小排（良杂猪）,61,55.4,351,1467,14.1,32.7,0,,62.6
81213,6,,,猪肚,100,79.3,97,405,14.1,3.5,2.2,,75.1
81214,6,,,猪肝,100,72.6,126,528,19.2,4.7,1.8,,68.6
81215,6,,,猪舌[口条],100,70.2,184,770,18.1,12.4,0,,79.4
81216,6,,,猪肾[猪腰子],100,80.6,82,342,15.8,1.8,0.6,,134.2
81318,6,,,火腿心全精肉,100,35.2,322,1346,37,19.3,0,,8612
81319,6,,,火腿心肉,81,25.6,528,2209,22.2,48.8,0,,2268.2
81320,6,,,腊肉,100,8.2,692,2895,18.2,68,1.8,,763.9
81321,6,,,叉烧肉,100,60.4,196,819,20.9,9.8,6,,726.4
81322,6,,,酱排骨,80,39,366,1529,21.7,26.7,9.6,,825.5
81323,6,,,香糟块肉,100,34.8,542,2266,15.5,53.3,0,,747.8
81324,6,,,熏烤小里脊,100,63.2,153,641,17.7,3.9,11.8,,814.2
81325,6,,,猪肉脯,100,11.2,378,1580,28,8.8,46.6,,1638.2
81326,6,,,肉酥,100,2.4,509,2128,30.7,27.1,35.5,,1540.7
81327,6,,,猪肉松,100,14,373,1562,41.8,10.2,28.6,,1929.2
81328,6,,,扒猪脸,100,48.6,347,1453,18.8,29.6,1.4,,392.7
81329,6,,,酱肘子,100,58.9,202,846,29.6,8.5,1.8,,197
81423,6,,,脆皮肠,100,50.9,302,1262,16.6,24,4.8,,992.7
81424,6,,,热狗肠,100,51.3,307,1284,13.2,25.2,6.9,,861.9
81425,6,,,火腿肠,100,51.5,215,900,12.1,14.6,8.8,,1119.5
81426,6,,,火腿,100,76.6,99,416,15.5,3.4,1.7,,1471.3
81427,6,,,火腿（云南）,100,22.1,565,2365,11.4,56.1,3.7,,5557.5
81428,6,,,三明治火腿,100,73.2,115,481,12.5,4.5,6.1,,898.6
81429,6,,,午餐肉,100,55.2,320,1339,9,30.1,3.3,,528.7
82111,6,,,牛肉（背部肉）[上脑],100,66.4,193,808,17.4,12.4,3,,0
82112,6,,,牛肉（里脊肉）[牛柳],100,72,134,561,22.3,5,0,,75.1
82113,6,,,牛肉（臀部肉）[紫盖、白板],100,72.8,117,491,22.6,2.6,0.9,,40.2
82114,6,,,牛肉（肩部肉）[肩肉],100,53.3,342,1430,14.1,31.7,0,,0
82115,6,,,牛肉（胸部肉）[牛胸],100,58.8,326,1362,16.6,28.8,0,,0
82116,6,,,牛肉（腹部肉）[牛腩],100,57.6,332,1390,17.1,29.3,0,,0
82117,6,,,牛肉（膝圆肉）[和尚头],100,74.6,106,444,22.4,1.8,0.1,,43.5
82118,6,,,牛肉（股内肉）[针扒、米龙、黄瓜条],100,72.5,119,497,22.8,2.9,0.4,,37.8
82119,6,,,牛肉（小腿肉）[牛展、牛腱子],100,73.4,122,509,23,3.3,0,,83.1
82210,6,,,牛百叶（黑）,100,85.6,70,292,13.2,1.9,0,,60.6
82307,6,,,牛肉（酱，五香）,100,55.5,229,959,33.2,10.7,0,,926
82308,6,,,牛肉（清香）,100,63.6,200,835,25.8,10.7,0,,935
82309,6,,,牛腱子（香叶）,100,53.9,205,856,35.6,5.5,3.2,,880.4
82310,6,,,牛肉干（长富牌）,100,14.6,342,1431,41.8,5.1,32.2,,1529
82311,6,,,牛肉干（沙爹牌）,100,16.8,327,1368,40.1,3.6,33.6,,1402.5
83113,6,,,羊肉（上脑）,100,78,94,393,19,2,0,,106.6
83114,6,,,羊肉（腰窝）,100,73.5,135,565,18.9,6.6,0,,109.2
83115,6,,,羊肉（前腿）,100,77.1,97,407,19.8,2,0,,92.8
83116,6,,,羊肉（后腿）,100,75.1,111,465,20.6,3.2,0,,93.8
83117,6,,,羊肉片,100,74.9,118,492,18,4,2.4,,92
83309,6,,,烧羊肉（五香）,100,59.4,183,766,33.6,5.4,0,,759.1
83310,6,,,羊肉串（生）,100,74.5,118,492,13,4.8,5.6,,616.2
84304,6,,,驴肉（五香）,100,64.9,167,698,28.2,6,0,,877.2
89006,6,,,鹿肉（梅花鹿）,100,78,92,384,19.7,1.3,0.3,,32.7
91112,6,,,鸡胸脯肉,100,71.7,118,493,24.6,1.9,0.6,,44.8
91113,6,,,鸡腿菇（干）[毛头鬼伞],74,71.7,146,609,20.2,7.2,0,,73.6
91114,6,,,鸡翅,69,63.3,202,843,19,11.5,5.5,,50.8
91115,6,,,鸡块（带浆块）,100,58.2,206,861,12.2,9.1,18.8,,329.8
91116,6,,,野山鸡,63,70.3,126,527,20.4,2,6.6,,37.8
91308,6,,,扒鸡（五香脱骨）,77,59.7,206,862,23.4,10.8,3.8,,633.2
91309,6,,,烤鸡,72,55.4,265,1107,28.1,16.9,0,,560
91310,6,,,童子鸡（熟）,57,66.8,226,946,15.8,18.1,0,,910.1
92214,6,,,鸭豉片,100,11.3,603,2521,18.3,56.1,6.1,,0
92307,6,,,烤鸭（老唐牌）,60,57,309,1292,20.3,25.3,0,,776.4
92308,6,,,烤鸭（全聚德牌）,65,33.4,530,2216,18.1,50.8,0,,29.9
93302,6,,,腊鹅,54,15.8,410,1717,24.6,21.5,29.6,,2880
94301,6,,,火鸡腿,85,72.5,100,416,16.7,0.7,6.6,,1071
99003,6,,,乳鸽,56,57.5,352,1473,11.3,34.1,0,,653.8
99004,6,,,乳鸽（红烧）,82,59,255,1066,16.9,20.8,0,,1809.8
101105,4,,,牛乳（光明牌）,100,88,61,256,3.1,3.2,5,,24.8
101106,4,,,牛乳（乐百氏牌）,100,87.4,67,279,3.3,3.8,4.8,,38.4
101107,4,,,牛乳（帕玛拉特牌）,100,87.9,61,256,3,3.1,5.3,,68.2
101108,4,,,牛乳（三元牌）,100,86.9,69,289,3.4,3.9,5.1,,35.1
101109,4,,,牛乳（完达山牌）,100,88.3,60,251,2.9,3.2,4.9,,292.1
101110,4,,,牛乳（龙丹牌）,100,87.5,66,277,2.9,3.8,5.1,,41.5
101111,4,,,牛乳（蒙牛牌）,100,87.2,67,280,3.1,3.7,5.3,,48.9
101112,4,,,牛乳（新南洋牌）,100,87.4,67,279,3.1,3.8,5.1,,46.1
101113,4,,,牛乳（帕玛拉特）,100,88.1,61,254,2.9,3.2,5.1,,62.1
101114,4,,,牛乳（伊利牌）,100,86.9,68,283,3.2,3.7,5.4,,49.5
101115,4,,,牛乳（部分脱脂，帕玛拉特）,100,90.1,43,181,2.9,1.3,5,,279.5
101116,4,,,牛乳（脱脂，帕玛拉特）,100,91.4,33,136,2.9,0.2,4.8,,117.2
101117,4,,,牛乳（强化锌、钙，帕玛拉特）,100,88.2,60,251,3,3.1,5,,62.1
101118,4,,,牛乳（草莓味，卡夫牌）,100,83.4,79,331,2.7,3,10.3,,28.3
101119,4,,,牛乳（巧克力味，卡夫牌）,100,83.3,80,335,2.8,3.2,10,,31.4
101120,4,,,牛乳（巧克力味，三元牌）,100,84.4,74,310,2.3,2.8,9.9,,36.3
101121,4,,,学生奶,100,86.1,66,277,2.6,2.6,8.1,,47.3
102105,4,,,全脂奶粉（雀巢）,100,,504,2109,24,28,39,,0
102106,4,,,全脂奶粉（三鹿牌）,100,2.2,516,2158,25.4,29.6,37.1,,491.2
102107,4,,,全脂奶粉（伊利牌）,100,3,504,2109,22,26,45.5,,220.6
102108,4,,,全脂甜奶粉（三鹿牌）,100,2.5,477,1995,21.2,21.1,50.5,,282.8
102109,4,,,全脂甜奶粉（伊利牌）,100,3.2,476,1992,19,21,52.8,,184.1
102110,4,,,低脂奶粉（高铁高钙，雀巢）,100,,413,1729,27,11.7,50,,0
102111,4,,,低脂奶粉（高铁高钙，伊利牌）,100,3.1,423,1768,27,11,53.9,,406.9
102112,4,,,高钙高铁奶粉（可淇牌）,100,4,437,1828,17,13,63,,350
102113,4,,,"儿童奶粉（安儿健A+,美赞臣）",100,,427,1785,17.9,11.1,64,,210
102114,4,,,儿童奶粉（适体健，美赞臣）,100,,407,1703,16,9,68,2.5,250
102115,4,,,儿童奶粉（惠氏）,100,,451,1876,17,15,62,,248
102116,4,,,儿童奶粉（可淇牌）,100,4,457,1912,17,17,59,,0
102117,4,,,儿童奶粉（三鹿牌）,100,2.9,462,1933,18.3,17.5,57.8,,115.7
102118,4,,,儿童奶粉（完达山牌）,100,,458,1916,17,18,57,,300
102119,4,,,孕妇母乳奶粉（惠氏）,100,,405,1723,16,6.8,70,,346
102120,4,,,孕妇母乳奶粉（美赞臣）,100,,380,1588,23.3,3.9,62.4,,360
102121,4,,,中老年奶粉（可淇牌）,100,4,432,1807,18,12,63,,0
102122,4,,,中老年奶粉（雀巢牌）,100,,429,1790,30,14.4,44.8,,410
102123,4,,,中老年奶粉（三鹿牌）,100,2.9,403,1688,25.2,5.8,62.6,,175.4
102124,4,,,中老年奶粉（森永牌）,100,3,418,1750,22,10,60,,0
103007,4,,,酸奶（调味）,100,81.2,88,370,3,3.2,11.9,,69.6
103008,4,,,酸奶（果粒）,100,78.5,97,407,3.3,2.9,14.6,0.1,53.8
104012,4,,,奶酪（光明牌）,100,43,348,1454,16.5,28.4,6.5,,1598
104013,4,,,奶酪（骑士牌）,100,31.7,386,1614,23,25.4,16.3,,531.8
104014,4,,,低脂奶酪,100,48,241,1009,21.6,11.6,12.6,,1684.8
104015,4,,,硬质干酪,100,37.3,411,1702,24.9,34.5,0.1,,687
105008,4,,,奶油,100,11,785,3285,1.1,86,1.7,,1.7
109004,4,,,全脂甜炼乳（雀巢）,100,15.9,380,1588,7.5,10,64.9,,88.6
109005,4,,,全脂甜炼乳（燕山牌）,100,17.1,374,1565,8.2,10,62.8,,103.9
109006,4,,,脱脂甜炼乳,100,29,270,1130,10.3,0.2,58,,180
111109,8,,,鸡蛋（红皮）,87,77.1,143,600,12.2,10.5,0,,125.7
111110,8,,,藏鸡蛋,86,72.7,162,677,12.6,11.3,24,,119.2
111111,8,,,乌鸡蛋（绿皮）,88,69.7,170,712,12.6,10.6,6.1,,106.7
111204,8,,,鸡蛋（煮）,86,76.3,151,632,12.1,10.5,0.1,,130
111205,8,,,毛蛋,87,72.3,176,735,14.2,13.2,0,,75.8
111206,8,,,荷包蛋（油煎）,100,68.6,199,833,13.5,15,1.4,,353
111207,8,,,荷包蛋（煮）,100,74.9,164,686,12.3,11.7,0.2,,110
112104,8,,,海鸭蛋,87,55.6,243,1015,12.7,13.8,16.9,,105.1
112203,8,,,咸鸭蛋（煮）,84,70,177,739,13.8,13.5,0,,1131
113104,8,,,鹅蛋（煮）,85,71.9,182,761,12.7,13.6,1,,45
121131,7,,,草鱼[白鲩、草包鱼],58,78.2,96,403,17.7,2.6,0.5,,36
121132,7,,,鲢鱼[白鲢、胖子、鲢子鱼],61,82.8,84,352,16.3,21,0,,57.5
121133,7,,,鲫鱼[洗头鱼、海附鱼],54,78.6,89,373,18,1.6,0.7,,41.2
121241,7,,,带鱼（切段）,70,78.8,108,453,17.6,4.2,0,,246.4
121242,7,,,黄鱼（小黄花鱼）,62,79.4,114,477,17,5.1,0,,194.3
121243,7,,,金鳇鱼,66,77.4,99,415,18.7,2.7,0,,104.1
121244,7,,,鲭鱼,49,45.2,417,1745,14.4,39.4,0.2,,56
121245,7,,, 双鬓鲨,38,73.6,117,490,27.4,0.1,0,,83
121303,7,,,金鲨鱼翅（干）,100,12,350,1463,84.1,0.5,2.3,,79.6
121304,7,,,鱼排,100,61.2,160,669,10.1,2.4,24.5,,383.3
121305,7,,,鱼丸,100,72.5,107,447,11.1,1.3,12.7,,854.2
121306,7,,,鱼子酱,100,55.9,201,841,9.6,7.1,24.7,,394.6
121401,7,,,草鱼（熏）,100,45.6,283,1184,24,16.5,9.6,,1291.8
121402,7,,,丁香鱼（香辣味）,100,30.3,403,1686,19,28.2,18.3,,1417.2
121403,7,,,凤尾鱼（熟）,100,19.5,520,2175,23.5,43,9.7,,525.4
